p_val	avg_logFC	pct.1	pct.2	p_val_adj
Ctsl	4.10257377538175e-26	0.562698753676716	0.887	0.625	5.50196169016447e-22
Inf2	5.82520841012219e-26	0.527277678209546	0.572	0.278	7.81218699881487e-22
Mgat4b	5.91434206052456e-26	0.46559548176036	0.459	0.183	7.93172413736949e-22
Plec	8.13981499367829e-26	0.622031235556537	0.767	0.524	1.0916305888022e-21
Slc12a7	8.58904147059558e-26	0.286836736904483	0.268	0.072	1.15187635162157e-21
Lamb1	9.14756044197811e-26	0.603661160685449	0.654	0.336	1.22677933087368e-21
Tagln2	1.00538279526826e-25	0.529214969779292	0.926	0.776	1.34831886673426e-21
Ptpn13	1.31006574507997e-25	0.428454469745935	0.319	0.1	1.75692917072675e-21
Ptrh1	1.48769572838299e-25	0.448331388907065	0.319	0.103	1.99514874133443e-21
Agrn	2.00571203696411e-25	0.578383903926605	0.607	0.307	2.68986041277256e-21
Rgs16	4.66681960074633e-25	0.82294515981169	0.459	0.199	6.25867176656091e-21
S100a11	7.37093012060784e-25	0.737808321078468	0.825	0.564	9.88515438474717e-21
Cd24a	8.93270846164863e-25	0.345949508169533	0.681	0.33	1.1979655317917e-20
Tmsb10	1.57985305172016e-24	0.529626454737797	0.825	0.56	2.11874092766191e-20
Glrx3	1.73130201561748e-24	0.495091674992515	0.514	0.232	2.32184913314461e-20
H13	1.78234115051566e-24	0.581504195104994	0.755	0.497	2.39029771695655e-20
Thy1	1.91491399533753e-24	-1.76526787647727	0.027	0.335	2.56809115914717e-20
Gjb4	1.9282850352754e-24	0.314230811312668	0.323	0.1	2.58602306080783e-20
Rrad	1.94114881729964e-24	0.402952888350178	0.311	0.095	2.60327467888055e-20
Gtf3c1	1.95320262331053e-24	0.486253153599605	0.389	0.146	2.61944003812175e-20
Ank	2.22597957004836e-24	0.666393154523255	0.51	0.239	2.98526120139185e-20
Plek2	2.33361714123827e-24	0.256786548665243	0.28	0.08	3.12961394811465e-20
Pafah1b3	2.54362139219467e-24	0.49411739779143	0.362	0.129	3.41125064907228e-20
Mmp19	2.75064123486146e-24	-1.68070650276231	0.078	0.386	3.6888849600727e-20
Col6a3	2.948661778445e-24	-2.08274541928398	0.066	0.376	3.95445031107259e-20
Prkg2	3.21535654436388e-24	0.364758764518368	0.296	0.09	4.3121146616464e-20
Cryab	4.23113085569534e-24	0.811883909429335	0.471	0.198	5.67436959057302e-20
Ptrf	8.78589447256143e-24	0.665574466379586	0.588	0.304	1.17827630771521e-19
Srgn	1.46788381181206e-23	-2.49541866461793	0.089	0.393	1.96857898002115e-19
Cdkn2b	1.64349811532855e-23	0.466314720405479	0.272	0.083	2.20409532246712e-19
Dyrk3	1.85593587315242e-23	0.412013194594022	0.284	0.087	2.48899559948471e-19
Dbn1	2.02995501221443e-23	0.494107261681007	0.424	0.179	2.72237266688077e-19
Cadm1	2.14342622867391e-23	0.299291234819862	0.3	0.092	2.87454891527458e-19
Flnb	3.11146555125806e-23	0.603006985928193	0.739	0.491	4.17278645079218e-19
Cd53	3.23844731913058e-23	-1.54526514665621	0.031	0.328	4.34308169968603e-19
Sh2d5	3.45616146898819e-23	0.340097380933694	0.346	0.12	4.63505814606006e-19
Grpel1	3.76083797726432e-23	0.471598056191167	0.564	0.275	5.04365981130918e-19
Bax	4.29199989989962e-23	0.423727017379445	0.49	0.216	5.75600106575537e-19
Ap1s1	6.51960533931952e-23	0.44968757766789	0.533	0.264	8.74344272056141e-19
Clic1	7.16163232535475e-23	0.451137710341255	0.802	0.56	9.60446511153325e-19
Ncs1	7.71379749597763e-23	0.452676338873652	0.416	0.168	1.03449738218556e-18
Sept9	8.33313378748672e-23	0.408512729713186	0.553	0.275	1.11755657223984e-18
