p_val	avg_logFC	pct.1	pct.2	p_val_adj
Gt.ROSA.26Sor	6.00584109578541e-51	0.373155076769201	0.44	0.147	8.05443349355781e-47
Duoxa1	6.0460183396912e-51	0.627393978681273	0.297	0.074	8.10831519535987e-47
Serping1	2.46673663713952e-50	-2.47262595469826	0.028	0.365	3.30814050406781e-46
Khdrbs3	3.00081939850517e-50	0.484993767220954	0.309	0.079	4.02439889533528e-46
Ralgds	7.01999999173154e-50	0.56097189990664	0.685	0.355	9.41452198891116e-46
Thy1	7.10700978090919e-50	-1.85926322017383	0.026	0.363	9.53121081717731e-46
Cd81	7.58184452595766e-50	0.532355320148327	0.903	0.653	1.01680116937618e-45
Tacstd2	9.57412265730236e-50	0.366798557378107	0.378	0.108	1.28398558957082e-45
Rtkn	1.66587486803393e-49	0.43822306463483	0.402	0.13	2.2341047855203e-45
Nrbp2	1.97349450177793e-49	0.466289146980453	0.279	0.066	2.64665347633439e-45
Stap2	4.16785387585157e-49	0.439764556169246	0.299	0.074	5.58950883290454e-45
Col1a1	6.49826113887846e-49	-3.1295339086924	0.042	0.374	8.71481801334991e-45
Lgmn	1.91111768255539e-48	-1.54351504452725	0.117	0.45	2.56299992407504e-44
Ier3	3.6926867088508e-48	0.706118651828911	0.903	0.76	4.95226214523981e-44
Me1	4.47725119924731e-48	0.5471215504992	0.36	0.114	6.00444158331056e-44
Rin2	4.96944824516689e-48	0.4972300362413	0.356	0.105	6.66452704159332e-44
Cd53	7.25374141590874e-48	-1.55832530751144	0.024	0.356	9.72799261287521e-44
Arhgef5	1.39842277025219e-47	0.557736550134548	0.446	0.165	1.87542477718521e-43
Bzw2	1.69815939625903e-47	0.541469447569122	0.505	0.206	2.27740156632299e-43
Col5a2	3.42687312917838e-47	-2.70504770190358	0.059	0.379	4.59577955354113e-43
Col1a2	7.81084335901756e-47	-3.7021960401031	0.111	0.424	1.04751220287784e-42
Bgn	8.10278891532611e-47	-2.68718762654702	0.057	0.377	1.08666502143439e-42
Col5a1	1.03200179032471e-46	-2.03972522089526	0.026	0.346	1.38401760100447e-42
Cited2	1.07754648908726e-46	0.528016925555979	0.515	0.21	1.44509759651493e-42
Fam3c	1.19657919816189e-46	0.702210255054917	0.497	0.223	1.60473236265492e-42
Chrnb1	1.31285729191631e-46	0.519490252316887	0.356	0.11	1.76067291418897e-42
Bcar1	2.37578241029853e-46	0.617091958180967	0.473	0.186	3.18616179045136e-42
Slpi	4.4605199799407e-46	0.442127029698096	0.564	0.241	5.98200334509848e-42
F2rl1	4.7613021682879e-46	0.479103174075738	0.285	0.071	6.3853823378909e-42
Shf	5.86162370735407e-46	0.48551876891491	0.299	0.079	7.86102355393254e-42
Serpinf1	7.8087790547563e-46	-1.67053804233303	0.04	0.358	1.04723535903337e-41
Col3a1	8.87635528523806e-46	-3.45352654877517	0.063	0.376	1.19040800730328e-41
Col6a2	8.99543077857758e-46	-2.16712724305836	0.032	0.348	1.20637722171504e-41
Nme3	9.96260228687722e-46	0.42797579589629	0.299	0.078	1.3360845926931e-41
Hexa	1.69791729841973e-45	-1.06909890797264	0.087	0.409	2.27707688891069e-41
Hsp90ab1	2.7199190269803e-45	0.447857183983226	0.974	0.878	3.64768340708328e-41
Col5a3	2.78575937526077e-45	-1.89617032763809	0.046	0.362	3.73598189816221e-41
Acsl4	4.2476697810093e-45	0.675746650584929	0.614	0.34	5.69654994331158e-41
Rcn3	6.48258642072209e-45	-1.30336334109539	0.008	0.316	8.6937966488304e-41
Sgms2	7.06800140005877e-45	0.556112647297584	0.467	0.191	9.47889667761882e-41
Lsp1	7.56358296555393e-45	-1.11277211698503	0.014	0.325	1.01435211151044e-40
Tbcc	1.0747467563903e-44	0.543842900912782	0.305	0.086	1.44134287499504e-40
Pdpn	1.72279287841233e-44	-1.23261142252094	0.083	0.402	2.31043752923877e-40
Nid1	3.51667924680746e-44	-1.3871273385689	0.046	0.359	4.71621853789348e-40
Htra1	8.37582359495657e-44	-1.25538581279841	0.059	0.373	1.12328170231963e-39
Emp2	8.38062491868827e-44	0.576506043752939	0.453	0.184	1.12392560784528e-39
C1qtnf6	9.84367236256313e-44	-1.27239051286985	0.008	0.31	1.32013490054334e-39
Atp1a1	1.01458433608999e-43	0.59845005435227	0.733	0.474	1.36065905313028e-39
Adamts2	1.19319997493296e-43	-1.60965680395649	0.014	0.315	1.60020048638259e-39
Mmp2	1.20419402275068e-43	-1.98074874711998	0.055	0.363	1.61494460391094e-39
Emp3	1.37791723404945e-43	-0.931276390712242	0.127	0.457	1.84792480258372e-39
Ephb3	1.90203201751988e-43	0.489633324896316	0.265	0.065	2.55081513869591e-39
Fstl1	2.98831471611921e-43	-2.31246338472678	0.071	0.372	4.00762886578748e-39
Osgin1	3.91864524047619e-43	0.458418254829856	0.329	0.099	5.25529513200261e-39
Cep170b	4.80837913346109e-43	0.476252815435329	0.531	0.235	6.44851725588466e-39
Gpx3	4.84339035048193e-43	-1.63234509275492	0.055	0.362	6.49547079903132e-39
Loxl1	6.69540382739372e-43	-1.52683297365181	0.014	0.312	8.97920607291772e-39
Lmna	7.28502406917921e-43	0.576709026549354	0.943	0.788	9.76994577917623e-39
Ctsk	1.06223562994476e-42	-1.63527409859912	0.024	0.324	1.42456420331892e-38
Timp2	1.09910196478981e-42	-1.14589194526908	0.253	0.535	1.47400564497962e-38
H3f3b	1.40270446662366e-42	0.430537757719311	0.933	0.819	1.88116696018899e-38
Tanc2	1.41411975358835e-42	0.526162667417625	0.406	0.15	1.89647600153734e-38
Cndp2	1.73784388093257e-42	-1.01742855755808	0.123	0.43	2.33062242871866e-38
Emilin2	2.07785901659617e-42	-1.20786296165999	0.014	0.315	2.78661672715713e-38
Col6a1	2.84226746599003e-42	-2.17647656449237	0.063	0.361	3.81176489863922e-38
Spry2	3.06665559436162e-42	0.602420412137079	0.558	0.265	4.11269181759836e-38
Angptl2	1.26920341340987e-41	-1.22573973534263	0.048	0.345	1.70212869772398e-37
Bhlhe41	1.29861683369445e-41	0.524574892233193	0.329	0.102	1.74157503566763e-37
Pik3cb	2.39882909509046e-41	0.355719813423547	0.291	0.079	3.21706969942582e-37
Capns1	2.8258606211801e-41	0.51998820605324	0.844	0.684	3.78976167906464e-37
Tubb2a	3.77338624179344e-41	0.625128611172688	0.689	0.41	5.06048828886918e-37
Rps9	4.42982422061719e-41	0.381944728867589	0.976	0.905	5.94083726226971e-37
Fblim1	1.20264286304143e-40	0.600282307902837	0.505	0.23	1.61286434362486e-36
Irf6	1.71549738888263e-40	0.255371248777393	0.376	0.12	2.3006535482305e-36
Hspg2	1.79870056351767e-40	-1.30155685713726	0.117	0.406	2.41223732573355e-36
Lmo4	1.92768325209928e-40	0.59753864976796	0.576	0.297	2.58521600939035e-36
Cpxm1	2.18067222369782e-40	-1.99645298487148	0.012	0.295	2.92449951920115e-36
Efna5	2.2099352720807e-40	0.404713604672068	0.303	0.09	2.96374419338743e-36
Tmbim6	3.10858786124119e-40	0.507760442666777	0.842	0.687	4.16892718071056e-36
Ppic	6.06087487010168e-40	-1.50059483297229	0.113	0.397	8.12823928829336e-36
Fdx1	8.7639924439775e-40	0.488383418096714	0.356	0.121	1.17533902666182e-35
Mpzl1	1.15115970735836e-39	0.486489242221376	0.378	0.14	1.5438202835383e-35
Ripk4	1.27109028057604e-39	0.295808052945319	0.277	0.075	1.70465917528052e-35
Serpina3h	1.95738116754717e-39	-1.34485821362437	0.073	0.364	2.62504388379751e-35
Cd44	2.70693388414953e-39	-0.913576261198872	0.651	0.764	3.63026903203294e-35
Zeb2	2.89154146129894e-39	-0.91929690051589	0.002	0.276	3.87784625374801e-35
Tmem238	6.6693170151218e-39	0.3694643594528	0.289	0.083	8.94422104897985e-35
Atp9a	8.02691248264082e-39	0.440283106400574	0.398	0.15	1.07648923304696e-34
Map2k3	8.61401418560713e-39	0.506146817885343	0.778	0.56	1.15522544243177e-34
Hspa1b	1.33486063090144e-38	0.775086322740944	0.737	0.433	1.79018159210192e-34
Hbegf	1.77784387877285e-38	0.649398047050717	0.713	0.452	2.38426642582227e-34
